trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99902 0.99672 11.92986 0.98330 10.47889 0.98648 4.26300 0.95703 1.62913 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99493 0.99720 11.66116 0.99500 7.51861 0.99310 2.57245 0.98216 1.53228 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99902 0.99916 11.97931 0.99769 11.42916 0.98031 6.08034 0.92608 2.03993 
100 0.0 5 100 0.001 5 0.99916 11.99902 0.99916 11.99054 0.99254 11.63310 0.97335 9.03110 0.97840 3.86430 0.96898 2.05269 
100 0.0 5 100 0.0001 5 0.99916 12.00000 0.99916 11.99805 0.99439 11.84274 0.98909 10.64072 0.96536 4.95375 0.91081 2.18092 
100 0.0 5 100 0.0001 5 0.99916 12.00000 0.99916 11.98761 0.99867 11.91023 0.99653 11.37284 0.98728 5.90992 0.93018 2.11504 
100 0.0 5 100 0.0001 5 0.99916 12.00000 0.99916 11.98956 0.99604 11.69378 0.99455 10.56331 0.98806 4.38522 0.95207 1.93394 
100 0.0 5 100 0.0001 5 0.99916 12.00000 0.99916 11.97882 0.99916 11.85373 0.99555 10.93081 0.99293 5.77922 0.92987 2.34646 
100 0.0 5 100 0.0001 5 0.99916 12.00000 0.99916 11.99151 0.99818 11.88407 0.99720 11.71189 0.99342 7.75184 0.94553 1.87718 
100 0.0 5 100 1e-05 5 0.99916 11.99854 0.99916 11.98419 0.98670 11.65570 0.99233 9.76885 0.99382 4.64320 0.97424 1.72027 
100 0.0 5 100 1e-05 5 0.99916 11.99072 0.99916 11.99591 0.99653 11.53570 0.99604 9.73102 0.99769 3.61859 0.96579 1.79204 
100 0.0 5 100 1e-05 5 0.99916 12.00000 0.99916 11.99902 0.99916 11.85895 0.99574 8.64809 0.99266 2.45901 0.97739 1.60045 
100 0.0 5 100 1e-05 5 0.99916 11.99805 0.99916 11.99737 0.99818 11.86650 0.99751 10.71436 0.99328 5.28440 0.96167 1.83577 
100 0.0 5 100 1e-05 5 0.99916 12.00000 0.99916 11.99347 0.99702 11.73138 0.99653 8.51370 0.99263 2.66179 0.98062 1.44856 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.99902 0.99916 11.95141 0.99769 11.59992 0.99087 5.53077 0.92404 2.26112 
100 0.0 5 100 0.01 5 0.99916 11.99902 0.99916 11.99103 0.99177 11.63564 0.98698 10.29852 0.95007 4.05845 0.92787 1.93439 
100 0.0 5 100 0.01 5 0.99916 11.99707 0.99916 11.99396 0.99916 11.95690 0.99349 11.31416 0.96450 5.49823 0.89804 2.48840 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.99347 0.99769 11.19270 0.99641 8.67751 0.98074 2.52596 0.96946 1.18935 
100 0.0 5 100 0.01 5 0.99916 11.99902 0.99916 11.96716 0.99836 11.71473 0.99586 9.36624 0.98470 2.60351 0.97192 1.78741 
100 0.0 5 100 0.01 5 0.99916 11.98877 0.99916 11.98614 0.99467 11.58685 0.99170 10.37358 0.99335 4.64950 0.96434 1.67606 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.99316 0.99525 11.74023 0.99251 9.79595 0.98669 3.04751 0.96971 1.60861 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.99756 0.99290 11.74580 0.99098 10.74605 0.98499 4.00187 0.94368 1.81612 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.99902 0.99586 11.83841 0.98548 10.56142 0.98042 3.77791 0.95216 1.56067 
100 0.0 5 100 0.01 5 0.99916 11.99902 0.99916 11.97638 0.99391 10.51456 0.99424 6.13792 0.98923 2.07637 0.98149 1.15281 
100 0.0 5 100 0.1 5 0.99916 11.99902 0.99916 11.99005 0.99867 11.81676 0.97692 8.15427 0.97902 3.63671 0.95651 1.78035 
100 0.0 5 100 0.1 5 0.99916 11.99902 0.99916 11.99902 0.99781 11.94567 0.99356 10.89261 0.99102 5.18954 0.96454 1.77871 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99902 0.99586 11.88571 0.97995 10.93973 0.96256 6.66525 0.88464 2.06199 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99902 0.99916 11.78707 0.99620 10.80841 0.99510 3.84929 0.97996 1.43952 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99023 0.99574 11.65909 0.99470 8.20893 0.98323 3.01278 0.96738 1.07450 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.98956 0.99379 11.73423 0.98380 10.79652 0.98033 5.70697 0.92918 1.95934 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99347 0.98863 11.67675 0.97851 10.75106 0.95897 4.39497 0.91258 1.97633 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99737 0.99574 11.78935 0.99281 10.72378 0.98551 3.66302 0.96117 1.75674 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99902 0.99867 11.93414 0.97640 10.19888 0.96986 5.03693 0.92340 2.19654 
100 0.0 5 100 0.1 5 0.99916 11.99902 0.99916 11.99493 0.99311 11.66990 0.98174 10.24911 0.99310 4.73753 0.95072 2.11450 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.99396 0.99574 11.77186 0.98139 10.35439 0.97892 4.45616 0.94676 2.08012 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.99902 0.99653 11.69551 0.99245 10.20698 0.98689 4.17978 0.95427 1.94174 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.99902 0.99867 11.90019 0.99720 11.40647 0.97857 4.71411 0.92454 2.17813 
100 0.0 5 100 1.0 5 0.99916 11.99902 0.99916 11.99591 0.99751 11.59137 0.99867 9.76017 0.99818 3.78936 0.99001 1.75806 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.99493 0.96864 11.41337 0.93982 8.46303 0.95472 5.78638 0.93713 2.34662 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.99658 0.99537 11.77604 0.99148 9.94790 0.98898 3.14388 0.98507 1.75613 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.99756 0.98531 11.25869 0.97741 9.51883 0.98600 4.28280 0.96132 1.99912 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.98028 0.98912 11.51841 0.98851 9.19846 0.98064 2.74644 0.96294 1.61069 
100 0.0 5 100 1.0 5 0.99916 11.99902 0.99916 11.99298 0.99439 11.62896 0.98056 8.80760 0.96451 2.52545 0.93293 1.35928 
100 0.0 5 100 1.0 5 0.99916 11.99805 0.99916 11.97052 0.99330 11.84958 0.98496 10.14985 0.96305 4.36764 0.92519 1.75728 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.97101 0.97410 11.18807 0.95007 9.94964 0.94223 5.53325 0.89025 2.40149 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99902 0.99635 11.74831 0.99421 9.15713 0.98776 2.88067 0.97180 1.74680 
100 0.0 5 100 10.0 5 0.99916 11.99902 0.99916 11.96729 0.99867 11.57372 0.99644 8.37930 0.99495 2.86229 0.98406 1.20579 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99414 0.99818 11.55592 0.99704 8.09570 0.99788 2.82175 0.99191 1.30598 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.98126 0.99867 11.81522 0.99916 8.77101 0.98230 4.12616 0.95310 1.09790 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.98566 0.99104 11.00888 0.99591 8.71230 0.99153 2.59065 0.97910 1.05418 
100 0.0 5 100 10.0 5 0.99916 11.99805 0.99916 11.99884 0.99818 11.66572 0.99769 10.53887 0.98030 3.13211 0.95844 1.53552 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99493 0.99507 11.82977 0.97791 10.70412 0.96552 4.81422 0.93454 2.01172 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99444 0.99916 11.89250 0.99488 9.59264 0.98001 3.66491 0.95197 2.01096 
