trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 0.0001 5 0.99818 11.92871 0.95082 9.17248 0.78682 4.35210 0.72371 1.87663 0.72582 1.86949 0.73585 2.22403 
100 0.0 5 100 0.0001 5 0.99800 11.98071 0.94517 11.01433 0.92424 8.93792 0.95620 6.16820 0.87367 2.50244 0.87186 2.11571 
100 0.0 5 100 1e-05 5 0.99867 11.94101 0.95752 11.42914 0.52943 6.02434 0.46008 5.10425 0.58062 1.47471 0.92844 2.30637 
100 0.0 5 100 1e-05 5 0.99916 11.97234 0.92786 8.77752 0.90768 7.44249 0.81844 2.34608 0.74280 1.39952 0.79140 2.20809 
100 0.0 5 100 1e-05 5 0.98849 11.75935 0.97840 11.26096 0.90992 9.04882 0.83247 4.41356 0.78855 2.58119 0.80700 2.81840 
100 0.0 5 100 1e-05 5 0.99916 11.94618 0.74978 6.98021 0.83551 6.43789 0.73006 6.51916 0.74624 2.27103 0.78986 2.62617 
100 0.0 5 100 1e-05 5 0.99916 11.97259 0.99867 11.91051 0.76445 6.75546 0.65862 3.13337 0.85925 2.80229 0.86912 2.52466 
100 0.0 5 100 1e-06 5 0.99720 11.93598 0.98231 10.66958 0.88054 4.89751 0.86484 3.55581 0.75662 1.44984 0.82589 2.10230 
100 0.0 5 100 1e-06 5 0.99916 11.98938 0.99537 11.21567 0.93076 9.77079 0.85524 5.29728 0.82380 2.92979 0.85700 2.42154 
100 0.0 5 100 1e-06 5 0.99867 11.99542 0.98737 11.58914 0.96699 10.59723 0.91460 5.93807 0.89372 2.42435 0.87176 2.34169 
100 0.0 5 100 1e-06 5 0.99916 11.98517 0.95517 11.71204 0.70499 9.06913 0.84352 5.50983 0.91092 3.52670 0.88399 2.11957 
